Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=50, eval=False, exp_name='K40_sum', k=40, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 2.774331, train acc: 0.433428, train avg acc: 0.257779
Test 0, loss: 2.287509, test acc: 0.558347, test avg acc: 0.412733
Train 1, loss: 2.238248, train acc: 0.617060, train avg acc: 0.439937
Test 1, loss: 2.014782, test acc: 0.706645, test avg acc: 0.563076
Train 2, loss: 2.100839, train acc: 0.679560, train avg acc: 0.522852
Test 2, loss: 1.921558, test acc: 0.758509, test avg acc: 0.655738
Train 3, loss: 2.028212, train acc: 0.711726, train avg acc: 0.563535
Test 3, loss: 1.866197, test acc: 0.792950, test avg acc: 0.673064
Train 4, loss: 1.980113, train acc: 0.734324, train avg acc: 0.600131
Test 4, loss: 1.872845, test acc: 0.786062, test avg acc: 0.681140
Train 5, loss: 1.942331, train acc: 0.748982, train avg acc: 0.625758
Test 5, loss: 1.868193, test acc: 0.775527, test avg acc: 0.678035
Train 6, loss: 1.904856, train acc: 0.768424, train avg acc: 0.646617
Test 6, loss: 1.735312, test acc: 0.832658, test avg acc: 0.737581
Train 7, loss: 1.874343, train acc: 0.778196, train avg acc: 0.663506
Test 7, loss: 1.746132, test acc: 0.815640, test avg acc: 0.714105
Train 8, loss: 1.849167, train acc: 0.787052, train avg acc: 0.674437
Test 8, loss: 1.716563, test acc: 0.832658, test avg acc: 0.737140
Train 9, loss: 1.824848, train acc: 0.798555, train avg acc: 0.689800
Test 9, loss: 1.744900, test acc: 0.828606, test avg acc: 0.761517
Train 10, loss: 1.808560, train acc: 0.809039, train avg acc: 0.707434
Test 10, loss: 1.666841, test acc: 0.860616, test avg acc: 0.779378
Train 11, loss: 1.798766, train acc: 0.808021, train avg acc: 0.707289
Test 11, loss: 1.722523, test acc: 0.836305, test avg acc: 0.738221
Train 12, loss: 1.781609, train acc: 0.815859, train avg acc: 0.718824
Test 12, loss: 1.659555, test acc: 0.854538, test avg acc: 0.776122
Train 13, loss: 1.772541, train acc: 0.819625, train avg acc: 0.724746
Test 13, loss: 1.639992, test acc: 0.854943, test avg acc: 0.772738
Train 14, loss: 1.745898, train acc: 0.833164, train avg acc: 0.741020
Test 14, loss: 1.667358, test acc: 0.856969, test avg acc: 0.786023
Train 15, loss: 1.740384, train acc: 0.834487, train avg acc: 0.748578
Test 15, loss: 1.634307, test acc: 0.873177, test avg acc: 0.798116
Train 16, loss: 1.717839, train acc: 0.846906, train avg acc: 0.764957
Test 16, loss: 1.652649, test acc: 0.864668, test avg acc: 0.802308
Train 17, loss: 1.710309, train acc: 0.848025, train avg acc: 0.767788
Test 17, loss: 1.623877, test acc: 0.878039, test avg acc: 0.802430
Train 18, loss: 1.694074, train acc: 0.853420, train avg acc: 0.773639
Test 18, loss: 1.615975, test acc: 0.882901, test avg acc: 0.819424
Train 19, loss: 1.682870, train acc: 0.860138, train avg acc: 0.782516
Test 19, loss: 1.626427, test acc: 0.887358, test avg acc: 0.825035
Train 20, loss: 1.676061, train acc: 0.862480, train avg acc: 0.789454
Test 20, loss: 1.579254, test acc: 0.885737, test avg acc: 0.818052
Train 21, loss: 1.661256, train acc: 0.867773, train avg acc: 0.794310
Test 21, loss: 1.594588, test acc: 0.861831, test avg acc: 0.803715
Train 22, loss: 1.654339, train acc: 0.868587, train avg acc: 0.799297
Test 22, loss: 1.561399, test acc: 0.891815, test avg acc: 0.832593
Train 23, loss: 1.641176, train acc: 0.876323, train avg acc: 0.808780
Test 23, loss: 1.559713, test acc: 0.891815, test avg acc: 0.846878
Train 24, loss: 1.625119, train acc: 0.884467, train avg acc: 0.819782
Test 24, loss: 1.602151, test acc: 0.874797, test avg acc: 0.830773
Train 25, loss: 1.626909, train acc: 0.882940, train avg acc: 0.820455
Test 25, loss: 1.537616, test acc: 0.901540, test avg acc: 0.838157
Train 26, loss: 1.607196, train acc: 0.893526, train avg acc: 0.835479
Test 26, loss: 1.541984, test acc: 0.902755, test avg acc: 0.841140
Train 27, loss: 1.608579, train acc: 0.889353, train avg acc: 0.828375
Test 27, loss: 1.536364, test acc: 0.908428, test avg acc: 0.855331
Train 28, loss: 1.598115, train acc: 0.893526, train avg acc: 0.835586
Test 28, loss: 1.553786, test acc: 0.894246, test avg acc: 0.830657
Train 29, loss: 1.579352, train acc: 0.901466, train avg acc: 0.848042
Test 29, loss: 1.523860, test acc: 0.911669, test avg acc: 0.863250
Train 30, loss: 1.573701, train acc: 0.906657, train avg acc: 0.854704
Test 30, loss: 1.522216, test acc: 0.902350, test avg acc: 0.850552
Train 31, loss: 1.563975, train acc: 0.910525, train avg acc: 0.861093
Test 31, loss: 1.524630, test acc: 0.908428, test avg acc: 0.865913
Train 32, loss: 1.556668, train acc: 0.913477, train avg acc: 0.867968
Test 32, loss: 1.515637, test acc: 0.905592, test avg acc: 0.849581
