Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=512, epochs=50, eval=False, exp_name='emb_512', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 2.791211, train acc: 0.431800, train avg acc: 0.255451
Test 0, loss: 2.324906, test acc: 0.557536, test avg acc: 0.452442
Train 1, loss: 2.216542, train acc: 0.630293, train avg acc: 0.449849
Test 1, loss: 1.985072, test acc: 0.714749, test avg acc: 0.598738
Train 2, loss: 2.062066, train acc: 0.702362, train avg acc: 0.543249
Test 2, loss: 1.879021, test acc: 0.779579, test avg acc: 0.675163
Train 3, loss: 1.977274, train acc: 0.734731, train avg acc: 0.591312
Test 3, loss: 1.836298, test acc: 0.805916, test avg acc: 0.699134
Train 4, loss: 1.916657, train acc: 0.762520, train avg acc: 0.632607
Test 4, loss: 1.794289, test acc: 0.801459, test avg acc: 0.701599
Train 5, loss: 1.871467, train acc: 0.780130, train avg acc: 0.657763
Test 5, loss: 1.714246, test acc: 0.840357, test avg acc: 0.762058
Train 6, loss: 1.829912, train acc: 0.798656, train avg acc: 0.687551
Test 6, loss: 1.726548, test acc: 0.844814, test avg acc: 0.756378
Train 7, loss: 1.814823, train acc: 0.802117, train avg acc: 0.692352
Test 7, loss: 1.687695, test acc: 0.841167, test avg acc: 0.747733
Train 8, loss: 1.788013, train acc: 0.819422, train avg acc: 0.719103
Test 8, loss: 1.657806, test acc: 0.851702, test avg acc: 0.787645
Train 9, loss: 1.760616, train acc: 0.826954, train avg acc: 0.730210
Test 9, loss: 1.638627, test acc: 0.868314, test avg acc: 0.791581
Train 10, loss: 1.749345, train acc: 0.831331, train avg acc: 0.739500
Test 10, loss: 1.635310, test acc: 0.871556, test avg acc: 0.802058
Train 11, loss: 1.722836, train acc: 0.839271, train avg acc: 0.747006
Test 11, loss: 1.714122, test acc: 0.825770, test avg acc: 0.761616
Train 12, loss: 1.713687, train acc: 0.847109, train avg acc: 0.761784
Test 12, loss: 1.697907, test acc: 0.843598, test avg acc: 0.770535
Train 13, loss: 1.695296, train acc: 0.851384, train avg acc: 0.768999
Test 13, loss: 1.617357, test acc: 0.867909, test avg acc: 0.787506
Train 14, loss: 1.683561, train acc: 0.856067, train avg acc: 0.773753
Test 14, loss: 1.577038, test acc: 0.888574, test avg acc: 0.833512
Train 15, loss: 1.673222, train acc: 0.864007, train avg acc: 0.787861
Test 15, loss: 1.586602, test acc: 0.877229, test avg acc: 0.825198
Train 16, loss: 1.663765, train acc: 0.868791, train avg acc: 0.793887
Test 16, loss: 1.578561, test acc: 0.879660, test avg acc: 0.817064
Train 17, loss: 1.665646, train acc: 0.866348, train avg acc: 0.792673
Test 17, loss: 1.582228, test acc: 0.877634, test avg acc: 0.822721
Train 18, loss: 1.642635, train acc: 0.876527, train avg acc: 0.808309
Test 18, loss: 1.569437, test acc: 0.880875, test avg acc: 0.832517
Train 19, loss: 1.636545, train acc: 0.878461, train avg acc: 0.806741
Test 19, loss: 1.589915, test acc: 0.868720, test avg acc: 0.812267
Train 20, loss: 1.630890, train acc: 0.877443, train avg acc: 0.810230
Test 20, loss: 1.546623, test acc: 0.896272, test avg acc: 0.836331
Train 21, loss: 1.608806, train acc: 0.889353, train avg acc: 0.826585
Test 21, loss: 1.535411, test acc: 0.899109, test avg acc: 0.855250
