Namespace(aggregation='max', angle=0, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=50, eval=False, exp_name='P30', grid_samp=False, k=30, lr=0.001, model='pointnet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, sigma=0, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 3.075352, train acc: 0.394137, train avg acc: 0.235712
Test 0, loss: 2.254312, test acc: 0.602512, test avg acc: 0.461180
Train 1, loss: 2.360011, train acc: 0.562704, train avg acc: 0.389659
Test 1, loss: 2.092776, test acc: 0.651540, test avg acc: 0.514657
Train 2, loss: 2.234043, train acc: 0.609222, train avg acc: 0.442674
Test 2, loss: 2.130417, test acc: 0.625203, test avg acc: 0.501320
Train 3, loss: 2.179745, train acc: 0.633550, train avg acc: 0.477247
Test 3, loss: 2.041728, test acc: 0.698136, test avg acc: 0.585355
Train 4, loss: 2.140473, train acc: 0.650753, train avg acc: 0.499604
Test 4, loss: 1.931017, test acc: 0.715154, test avg acc: 0.564680
Train 5, loss: 2.102751, train acc: 0.670297, train avg acc: 0.519855
Test 5, loss: 1.886965, test acc: 0.758914, test avg acc: 0.642378
Train 6, loss: 2.080932, train acc: 0.677423, train avg acc: 0.530284
Test 6, loss: 1.875804, test acc: 0.774311, test avg acc: 0.658512
Train 7, loss: 2.053474, train acc: 0.692081, train avg acc: 0.547048
Test 7, loss: 1.934166, test acc: 0.715559, test avg acc: 0.658378
Train 8, loss: 2.048940, train acc: 0.693709, train avg acc: 0.556541
Test 8, loss: 1.943224, test acc: 0.722853, test avg acc: 0.624570
Train 9, loss: 2.032927, train acc: 0.696865, train avg acc: 0.557599
Test 9, loss: 1.895713, test acc: 0.774716, test avg acc: 0.660087
Train 10, loss: 2.003487, train acc: 0.712032, train avg acc: 0.573183
Test 10, loss: 1.836117, test acc: 0.777147, test avg acc: 0.674209
Train 11, loss: 1.995863, train acc: 0.710810, train avg acc: 0.574470
Test 11, loss: 1.854144, test acc: 0.751621, test avg acc: 0.689587
Train 12, loss: 1.977140, train acc: 0.721906, train avg acc: 0.589672
Test 12, loss: 1.818030, test acc: 0.789303, test avg acc: 0.676140
Train 13, loss: 1.977717, train acc: 0.720480, train avg acc: 0.586750
Test 13, loss: 1.852357, test acc: 0.772285, test avg acc: 0.677680
Train 14, loss: 1.953998, train acc: 0.731678, train avg acc: 0.601230
Test 14, loss: 1.743615, test acc: 0.809157, test avg acc: 0.717843
Train 15, loss: 1.947521, train acc: 0.740941, train avg acc: 0.614084
Test 15, loss: 1.735307, test acc: 0.835900, test avg acc: 0.737855
Train 16, loss: 1.934341, train acc: 0.741551, train avg acc: 0.614248
Test 16, loss: 1.766063, test acc: 0.799028, test avg acc: 0.703791
